你好 Heeeeeeeeeeeeeeello
附近 一个不起眼的地方。
央视 内置场景
艺术楼 上课地点之一，教室非常大
松园 靠着西门，松园书屋和舒适的设施绝对是松园最迷人的宿舍。
松园篮球场 去晚了就占不到羽毛球场和篮球场了。
游泳馆 平时开放时间：暑期开放时间：办卡方式：游泳考试地点下小雨也会继续考试。
一食堂 凉皮巨无敌好吃，粤式烧腊每天都要排很长的队，分量管够。虽然叫粤式烧腊但是淋在上面的辣椒很香。食堂一楼的黄焖鸡，啵啵鱼里的粉丝是一绝。装修后的一食堂超级棒，除了不能充电，平时也可以去自习
二食堂 二食堂总共四层楼。强烈推荐负一楼和四楼的套饭，二楼的黄焖鸡物美价廉，三楼的部队锅让人念念不忘。
三食堂 总共分为三楼，一楼的香锅不容错过
图书馆 1-8楼都提供座位自习，但不容许用书占座，每天晚上工作人员会收走桌上的书籍。校外人士可使用身份证或微信登陆进入图书馆
综合楼 在这里画图的时光十分有趣，让人怀念:)
第一教学楼 每天都会经过这里，进行着探讨学习，活动策划，年级大会。重大人的活动中心之一。
风雨操场 大型集会的聚集地，400m标准跑道，每天都会有很多人去夜跑。常常会有人在此踢足球，玩飞盘。
梅园球场 篮球区异常火爆，有四个小型的足球场，五个网球场，两个排球场，两个沙滩排球场，12个羽毛球场及若干乒乓球台。
银杏大道 到了秋天，这儿就会充满游客。
荷花池 风景之一，夏天充满青蛙的叫声，还有田田的荷叶。
缙湖 学习了累的时候，坐在湖边放松。或是走走，看看黑天鹅。
云湖 装饰着图书馆，让图书馆看起来不单调。
大北门 离开重大和来到重大的重要地点。
小北门 比大北门方便不少。
